id,location_name_rdf,location_url,parameter,parameter_url,value,unit,datetimeUtc,timezone,latitude,longitude
4318_2025-10-15T08:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-15T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-15T10:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-15T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-15T17:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-15T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-15T18:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-15T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-15T22:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-15T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-15T23:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-15T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T00:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-16T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T01:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T02:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T03:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-16T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T04:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-16T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T05:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T06:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T11:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,4,µg/m³,2025-10-16T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T12:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T13:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T14:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T15:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T16:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T17:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T18:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T19:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,4,µg/m³,2025-10-16T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T20:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-16T21:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-16T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T07:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T08:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T09:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T10:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T11:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T12:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T13:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T14:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T15:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T16:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T17:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T18:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,4,µg/m³,2025-10-17T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T19:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T20:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T21:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T22:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-17T23:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-17T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T00:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T01:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T02:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T03:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T04:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T05:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T06:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T07:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,4,µg/m³,2025-10-18T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T08:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T09:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T10:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,4,µg/m³,2025-10-18T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T11:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T12:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T13:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T15:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T17:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T19:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T20:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-18T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T21:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-18T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-18T23:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-18T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T00:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T01:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T02:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T03:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T04:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T05:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T06:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T07:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-19T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T08:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-19T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T09:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T10:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T11:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T12:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T13:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T14:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T15:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T16:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-19T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T17:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-19T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T18:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T19:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-19T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T20:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-19T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-19T23:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-19T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T00:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-20T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T01:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-20T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T02:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-20T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T03:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T04:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-20T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T06:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-20T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T07:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T09:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T10:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T11:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T13:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T14:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T15:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T16:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T17:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T18:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,6,µg/m³,2025-10-20T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T19:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T20:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T21:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T22:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-20T23:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-20T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-21T00:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-21T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-21T01:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-21T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-21T02:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-21T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-21T03:00:00Z_so2,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,so2,https://www.wikidata.org/wiki/Q5282,5,µg/m³,2025-10-21T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
